57404312213102573130535121623701575324660752536153337662374157531437046612335353163756240153524131576357403153520146143661013724660733535321375624015352414060075253527613574301533301615357376157466121,{b'a': [(5, 7)], b'b': [(2, 2), (4, 5), (5, 4), (6, 5)], b'c': [(4, 4), (7, 5)], b'd': [(3, 1), (4, 3)], b'e': [(0, 1), (1, 4), (3, 0), (4, 1), (7, 6)], b'f': [(1, 0), (3, 4), (7, 0)], b'g': [(0, 7), (1, 2), (6, 2)], b'h': [(3, 3), (5, 2)], b'i': [(1, 1), (6, 0), (6, 6)], b'j': [(4, 7), (7, 3)], b'k': [(0, 0), (0, 6), (3, 5), (5, 5)], b'l': [(0, 4), (2, 4), (4, 6), (7, 7)], b'm': [(0, 2), (1, 3), (2, 7), (7, 1)], b'n': [(4, 0)], b'o': [(1, 6), (2, 1)], b'p': [(2, 6)], b'q': [(3, 2), (4, 2), (7, 4)], b'r': [(3, 7)], b's': [(3, 6), (6, 1)], b't': [(5, 3)], b'u': [(0, 5), (5, 6)], b'v': [(6, 4), (6, 7)], b'w': [(5, 0), (5, 1)], b'x': [(0, 3), (1, 5), (2, 3), (2, 5), (7, 2)], b'y': [(1, 7), (6, 3)], b'z': [(2, 0)]}
56554361036027105357065353272504565504762732044373566052104345445360316506125457711311577306015355040543454470144702763356604310006011326561400222025203372260132222271752225560400372133252112071131157,{b'a': [(1, 3), (2, 7)], b'b': [(6, 6), (7, 5)], b'c': [(3, 0), (3, 4), (6, 7)], b'd': [(0, 0), (1, 2), (4, 2), (4, 4)], b'e': [(0, 4), (5, 2)], b'f': [(6, 3), (7, 3)], b'g': [(6, 4), (6, 5)], b'h': [(5, 5), (6, 0)], b'i': [(1, 1), (1, 4), (4, 0), (5, 4)], b'j': [(2, 3)], b'k': [(0, 7), (1, 7), (2, 5), (7, 7)], b'l': [(0, 2), (0, 5), (1, 0), (4, 7)], b'm': [(3, 2), (5, 1)], b'n': [(2, 0), (5, 7), (7, 2), (7, 6)], b'o': [(0, 6), (3, 3), (4, 3)], b'p': [(2, 1), (4, 1)], b'q': [(3, 5), (6, 2)], b'r': [(0, 1), (4, 5)], b's': [(0, 3), (3, 7)], b't': [(2, 2), (5, 3), (5, 6)], b'u': [(2, 4), (6, 1)], b'v': [(1, 5), (1, 6), (7, 1)], b'w': [(2, 6), (7, 0)], b'x': [(4, 6)], b'y': [(3, 1), (5, 0), (7, 4)], b'z': [(3, 6)]}
46377622654672255255315272465754470620467225062734523413067272527674032043353121477627523713522031572604524635355233204605645220423103726355522025550637463754640620430326760333250372021122205737422136,{b'a': [(4, 6)], b'b': [(0, 4), (0, 5), (3, 4), (6, 3)], b'c': [(3, 5), (5, 1), (6, 7), (7, 0)], b'd': [(5, 4), (7, 6)], b'e': [(0, 6), (5, 2)], b'f': [(0, 0), (0, 2), (6, 5)], b'g': [(5, 6)], b'h': [(2, 5), (3, 1), (4, 3)], b'i': [(0, 3), (2, 1), (5, 7)], b'j': [(0, 1), (2, 4), (6, 6)], b'k': [(1, 4), (3, 0), (4, 0), (5, 3)], b'l': [(1, 3), (3, 6), (4, 7), (5, 0), (6, 4)], b'm': [(2, 6)], b'n': [(3, 7)], b'o': [(1, 1), (2, 2), (4, 2), (6, 1)], b'p': [(3, 3), (6, 0), (7, 7)], b'q': [(4, 5), (7, 1)], b'r': [(1, 2), (2, 7), (5, 5)], b's': [(7, 2)], b't': [(2, 0)], b'u': [(1, 5), (4, 4)], b'v': [(1, 7), (2, 3)], b'w': [(7, 3), (7, 4), (7, 5)], b'x': [(3, 2), (4, 1)], b'y': [(1, 6), (6, 2)], b'z': [(0, 7), (1, 0)]}
36673106527344733740537346360773327037320637236165350536423767125273137342267764360137001352733033357206633742267736673173674636074473053367745153743653336721777373367212411735647335173010733571465265,{b'a': [(3, 6)], b'b': [(3, 4), (4, 1), (4, 7)], b'c': [(1, 4), (1, 6), (4, 6)], b'd': [(0, 5), (2, 4), (3, 1), (6, 4)], b'e': [(7, 3)], b'f': [(0, 0), (2, 3), (3, 0)], b'g': [(7, 4)], b'h': [(5, 2), (7, 7)], b'i': [(3, 3), (5, 1), (7, 1)], b'j': [(1, 0), (1, 1), (6, 1)], b'k': [(4, 3), (5, 5), (6, 2)], b'l': [(5, 3)], b'm': [(0, 7), (2, 5), (6, 3)], b'n': [(4, 2), (6, 7)], b'o': [(1, 7), (3, 7), (6, 5)], b'p': [(4, 0), (4, 4), (7, 0)], b'q': [(2, 2)], b'r': [(3, 5)], b's': [(7, 2)], b't': [(0, 6), (1, 2), (1, 3), (2, 1), (2, 6)], b'u': [(0, 3), (3, 2)], b'v': [(0, 2), (0, 4), (1, 5), (2, 7), (5, 0)], b'w': [(2, 0), (4, 5), (5, 7), (7, 5)], b'x': [(5, 6), (7, 6)], b'y': [(0, 1), (6, 6)], b'z': [(5, 4), (6, 0)]}
65671314716024316126240626473621154110505335752476333662143565346530266014322662147121401675314404626574153731215727615731410465557150751206323706504715643274360731410565264760062662265736755360313432,{b'a': [(1, 0), (5, 4), (6, 5), (7, 1)], b'b': [(6, 6)], b'c': [(3, 7), (5, 7)], b'd': [(1, 5), (5, 3)], b'e': [(0, 4), (2, 6), (3, 2)], b'f': [(0, 7), (1, 1)], b'g': [(0, 0), (5, 5)], b'h': [(0, 6), (1, 4)], b'i': [(3, 1), (5, 0)], b'j': [(0, 2), (1, 7), (3, 3), (4, 3), (4, 5)], b'k': [(1, 6), (3, 0)], b'l': [(4, 7)], b'm': [(3, 4), (6, 1)], b'n': [(7, 4), (7, 5)], b'o': [(3, 6), (7, 6)], b'p': [(2, 0), (4, 0), (7, 2)], b'q': [(0, 3), (5, 1), (7, 3)], b'r': [(0, 5), (2, 1), (6, 4)], b's': [(4, 1), (6, 2)], b't': [(1, 2), (1, 3), (2, 4), (6, 0), (6, 7)], b'u': [(2, 3), (2, 7), (3, 5), (5, 2)], b'v': [(4, 4)], b'w': [(0, 1), (5, 6), (7, 7)], b'x': [(2, 5)], b'y': [(2, 2), (4, 2), (6, 3), (7, 0)], b'z': [(4, 6)]}
21364136700042001431004633213142574031307623422731044344303170420044705576345631523341445154314175314042631143421142577604634431167144274156317663725114315276414451543144275631274433116070004200563115,{b'a': [(4, 4)], b'b': [(2, 1)], b'c': [(5, 4)], b'd': [(1, 1)], b'e': [(3, 1)], b'f': [(5, 3), (5, 7), (6, 7)], b'g': [(0, 6), (2, 6), (4, 3), (5, 0)], b'h': [(1, 4), (5, 6), (7, 5)], b'i': [(3, 3), (3, 5), (7, 2), (7, 6)], b'j': [(4, 5)], b'k': [(1, 0), (1, 7), (4, 7), (7, 7)], b'l': [(1, 6), (2, 4), (4, 0)], b'm': [(1, 5), (2, 3), (6, 5)], b'n': [(0, 7), (3, 4), (5, 1), (7, 0)], b'o': [(4, 2)], b'p': [(0, 5), (1, 3), (2, 5), (6, 2)], b'q': [(3, 7), (7, 4)], b'r': [(1, 2), (2, 0), (3, 2), (4, 6), (5, 2), (6, 3)], b's': [(0, 4), (2, 7)], b't': [(0, 0), (4, 1)], b'u': [(3, 6), (6, 0)], b'v': [(0, 3), (2, 2), (3, 0)], b'w': [(7, 1)], b'x': [(7, 3)], b'y': [(0, 2), (5, 5), (6, 4), (6, 6)], b'z': [(0, 1), (6, 1)]}
16640426041116236004243760767016311363606252162360653604016062526523606317044046616024624146352431254512274604562165626523607076524777704070602616176011602504657060260270651716176070611470404035216026,{b'a': [(3, 1), (3, 5), (4, 7)], b'b': [(0, 1), (5, 0), (6, 6)], b'c': [(2, 5), (4, 5), (6, 3)], b'd': [(3, 0), (4, 6)], b'e': [(6, 0)], b'f': [(4, 1), (5, 2)], b'g': [(1, 0), (2, 1), (5, 5)], b'h': [(1, 7), (2, 3), (3, 7), (6, 4)], b'i': [(0, 4), (7, 0)], b'j': [(0, 3), (0, 7), (7, 4)], b'k': [(2, 2), (3, 2), (4, 4)], b'l': [(4, 0)], b'm': [(7, 7)], b'n': [(1, 3), (2, 4), (3, 3), (5, 6)], b'o': [(1, 2), (6, 2)], b'p': [(0, 0), (5, 7)], b'q': [(5, 3)], b'r': [(2, 7), (3, 6), (6, 1), (7, 6)], b's': [(1, 1), (2, 6)], b't': [(1, 6), (6, 5)], b'u': [(0, 6), (3, 4), (4, 2), (5, 1), (6, 7)], b'v': [(1, 4), (7, 1)], b'w': [(0, 2), (0, 5), (1, 5), (2, 0), (7, 5)], b'x': [(5, 4)], b'y': [(4, 3), (7, 3)], b'z': [(7, 2)]}
06142011272477356144200424141630722133064655207220240772557214112746577210521125301152460145042066402011352444453320204655720724044620113524136140114511274635661420256415612061701434241224147624663321,{b'a': [(0, 6), (6, 6), (7, 0)], b'b': [(6, 2)], b'c': [(0, 2), (7, 4), (7, 7)], b'd': [(2, 0)], b'e': [(2, 4), (4, 6)], b'f': [(2, 2), (3, 0), (6, 4)], b'g': [(1, 0)], b'h': [(2, 7), (3, 5), (5, 2)], b'i': [(6, 1), (7, 2)], b'j': [(6, 5)], b'k': [(0, 3), (2, 3), (4, 2), (4, 7), (6, 0)], b'l': [(0, 1), (4, 4), (5, 5)], b'm': [(1, 3), (1, 5), (1, 7), (3, 1), (3, 7)], b'n': [(1, 4), (4, 0)], b'o': [(1, 6), (2, 5), (4, 5)], b'p': [(0, 5), (5, 4)], b'q': [(3, 2), (5, 0), (6, 7)], b'r': [(0, 4), (3, 3)], b's': [(0, 0), (2, 1), (3, 4), (5, 6), (5, 7)], b't': [(1, 1)], b'u': [(2, 6), (5, 1), (7, 5)], b'v': [(0, 7), (1, 2), (4, 1)], b'w': [(5, 3), (6, 3), (7, 1)], b'x': [(4, 3)], b'y': [(7, 6)], b'z': [(3, 6), (7, 3)]}
67642212337026507666473374753355334371605133664751332433273364661233702164701736202320176647333073706612330317377603504533661250367133446722702657337666123320731450573350522140037624076670037374231711,{b'a': [(2, 6), (6, 7), (7, 3)], b'b': [(0, 2), (6, 0)], b'c': [(0, 6), (1, 6), (4, 6), (5, 6)], b'd': [(2, 2), (7, 6)], b'e': [(3, 3)], b'f': [(3, 6), (6, 3)], b'g': [(0, 1), (1, 3), (4, 2), (6, 1)], b'h': [(1, 2), (3, 5), (4, 4), (4, 7)], b'i': [(5, 0)], b'j': [(7, 2), (7, 7)], b'k': [(5, 3), (6, 2)], b'l': [(0, 3), (1, 4)], b'm': [(0, 5), (2, 0), (4, 3)], b'n': [(2, 4), (6, 4)], b'o': [(0, 7), (1, 7), (2, 1)], b'p': [(0, 4), (1, 0), (3, 2), (5, 4)], b'q': [(3, 1)], b'r': [(1, 5), (3, 0), (3, 7), (5, 1), (5, 5)], b's': [(7, 0)], b't': [(6, 6)], b'u': [(1, 1), (4, 0)], b'v': [(2, 7), (4, 5), (5, 7)], b'w': [(0, 0), (3, 4), (5, 2), (7, 5)], b'x': [(2, 5)], b'y': [(2, 3), (7, 1), (7, 4)], b'z': [(4, 1), (6, 5)]}
54406001315564617643755167455173021014616150057374756364645502515205536101312071142167461010516736456452636736456453422073520567362064054010324676550010122054443361715342571020221551401442456371201431,{b'a': [(0, 5), (5, 1), (5, 4), (6, 3)], b'b': [(1, 1), (6, 5)], b'c': [(1, 6), (7, 5)], b'd': [(0, 0), (0, 2), (4, 3), (5, 0), (6, 0), (7, 4)], b'e': [(2, 0), (4, 5), (4, 6), (5, 5)], b'f': [(2, 4), (3, 3)], b'g': [(1, 7)], b'h': [(0, 7), (3, 1), (4, 2)], b'i': [(2, 1)], b'j': [(0, 3), (6, 2)], b'k': [(4, 4)], b'l': [(6, 4)], b'm': [(6, 7)], b'n': [(4, 0), (7, 3)], b'o': [(6, 1)], b'p': [(1, 2), (1, 3), (2, 3), (6, 6), (7, 7)], b'q': [(3, 7), (7, 0)], b'r': [(2, 2), (7, 1), (7, 6)], b's': [(1, 0), (5, 2)], b't': [(0, 1), (1, 4), (2, 7), (5, 3)], b'u': [(3, 6)], b'v': [(1, 5)], b'w': [(0, 6), (3, 2)], b'x': [(0, 4), (2, 6), (3, 5), (5, 6)], b'y': [(3, 0), (3, 4), (4, 1), (4, 7), (5, 7)], b'z': [(2, 5), (7, 2)]}
13276472606256374604441157653514552700523766641372302125534520216503576535116155277551525525525721205637464652130221265665426074236545767464145660046511310155044674656656607611576545557400525300331323,{b'a': [(1, 3), (3, 7), (5, 3), (7, 6)], b'b': [(3, 0), (3, 2)], b'c': [(0, 5), (1, 5), (2, 5), (2, 6), (4, 4), (7, 1)], b'd': [(1, 7), (3, 1), (3, 3), (6, 4)], b'e': [(2, 1), (6, 0)], b'f': [(0, 3), (1, 0)], b'g': [(7, 5)], b'h': [(5, 2), (5, 6)], b'i': [(5, 5)], b'j': [(4, 0), (6, 7), (7, 7)], b'k': [(6, 1), (7, 3)], b'l': [(0, 4), (4, 6)], b'm': [(4, 7)], b'n': [(2, 7), (7, 4)], b'o': [(6, 5)], b'p': [(0, 7), (1, 6), (2, 4), (3, 6)], b'q': [(5, 0), (5, 4)], b'r': [(1, 1)], b's': [(2, 0), (4, 2), (6, 2)], b't': [(0, 0), (1, 4), (6, 6)], b'u': [(3, 5), (4, 5)], b'v': [(0, 2), (3, 4)], b'w': [(0, 1), (5, 1)], b'x': [(1, 2), (2, 2), (4, 3)], b'y': [(0, 6), (2, 3), (5, 7), (7, 2)], b'z': [(4, 1), (6, 3), (7, 0)]}
43756144576504577032702734707565544370145675005262431370144335704361247710574310075752566624416573440731416526704457271043136554437561441265505770324073107075656605672765141443134062227212705436246273,{b'a': [(4, 3)], b'b': [(1, 7), (2, 2)], b'c': [(6, 6)], b'd': [(1, 4), (6, 1), (6, 2)], b'e': [(6, 5)], b'f': [(5, 3)], b'g': [(1, 5), (3, 6), (7, 7)], b'h': [(1, 2), (5, 7)], b'i': [(4, 0), (7, 0)], b'j': [(0, 1), (3, 7), (4, 6)], b'k': [(1, 1), (2, 1)], b'l': [(0, 2), (3, 2)], b'm': [(3, 5), (4, 1), (5, 1)], b'n': [(7, 5)], b'o': [(2, 4), (3, 1), (5, 2)], b'p': [(0, 4), (5, 0)], b'q': [(2, 0), (2, 3), (4, 2), (4, 7), (7, 6)], b'r': [(5, 5), (6, 7)], b's': [(2, 7), (5, 4), (7, 3)], b't': [(0, 0), (0, 7), (1, 0), (2, 5), (3, 4), (4, 4)], b'u': [(0, 5), (4, 5), (5, 6)], b'v': [(1, 3)], b'w': [(2, 6), (3, 3), (6, 4), (7, 4)], b'x': [(0, 6), (3, 0), (7, 1)], b'y': [(0, 3), (6, 0), (7, 2)], b'z': [(1, 6), (6, 3)]}
37417527063625270663751303656367236526270527475357736464040336350403362247364107020653065375750671637506412723401040756357023565402703532670130422270573710653647705272772420405217264042572040567634205,{b'a': [(0, 6), (3, 7), (5, 7)], b'b': [(2, 1), (7, 4)], b'c': [(4, 4), (4, 6), (5, 5), (7, 6)], b'd': [(7, 5)], b'e': [(0, 5), (4, 0), (7, 2)], b'f': [(6, 6), (7, 0)], b'g': [(0, 7), (1, 1)], b'h': [(0, 4), (6, 5)], b'i': [(6, 3)], b'j': [(7, 7)], b'k': [(1, 6), (3, 0), (4, 5), (5, 6)], b'l': [(2, 5)], b'm': [(0, 2), (3, 2), (6, 7)], b'n': [(4, 1), (5, 3)], b'o': [(0, 3), (2, 6), (4, 7)], b'p': [(0, 0), (1, 7), (3, 3)], b'q': [(1, 2), (5, 0)], b'r': [(1, 0), (2, 0), (7, 3)], b's': [(2, 7)], b't': [(1, 3), (3, 5), (4, 2), (6, 4)], b'u': [(3, 6)], b'v': [(5, 1), (5, 4), (6, 2), (7, 1)], b'w': [(2, 3)], b'x': [(0, 1), (2, 4), (3, 1), (6, 0), (6, 1)], b'y': [(1, 4), (2, 2)], b'z': [(1, 5), (3, 4), (4, 3), (5, 2)]}
73135527736541257327531774167773201641512231300074160173515542434241412776511716557320155516331622530753101643734141434253741517732211557333511173332315111655216517213110422763001604164057165343422516,{b'a': [(7, 3)], b'b': [(1, 2), (2, 6), (4, 7)], b'c': [(2, 5), (5, 7)], b'd': [(1, 1), (5, 5)], b'e': [(1, 6)], b'f': [(3, 1)], b'g': [(0, 3), (4, 4), (5, 2), (5, 6), (7, 5)], b'h': [(1, 0), (7, 4)], b'i': [(1, 5), (4, 2), (5, 1)], b'j': [(6, 4), (7, 7)], b'k': [(0, 5), (7, 2)], b'l': [(4, 1)], b'm': [(6, 0), (7, 6)], b'n': [(1, 3), (2, 2), (4, 0)], b'o': [(0, 7), (2, 1), (2, 3), (3, 0), (5, 4)], b'p': [(1, 4), (5, 0), (6, 3)], b'q': [(3, 4)], b'r': [(0, 0), (6, 2), (7, 1)], b's': [(0, 1), (0, 4), (2, 7)], b't': [(1, 7), (5, 3)], b'u': [(0, 2), (0, 6), (6, 5)], b'v': [(2, 0), (3, 3)], b'w': [(4, 3)], b'x': [(3, 2), (3, 6), (4, 5)], b'y': [(2, 4), (3, 5), (6, 1), (6, 6), (7, 0)], b'z': [(3, 7), (4, 6), (6, 7)]}
12762536630727155007133350323370707346372452366716605233705376505270331337542425453650246224523627361267127637465306157155102314702306501276377067005010073350734652626633707050257033132547124637521422,{b'a': [(0, 7), (2, 3), (4, 5), (5, 3)], b'b': [(0, 1), (1, 7), (3, 0), (5, 1), (7, 2), (7, 5)], b'c': [(2, 1)], b'd': [(1, 5), (5, 0)], b'e': [(2, 5), (3, 7), (5, 2)], b'f': [(1, 6), (5, 5)], b'g': [(0, 3), (5, 6), (6, 5), (7, 7)], b'h': [(4, 6), (7, 6)], b'i': [(2, 7), (3, 3)], b'j': [(0, 5), (2, 6), (4, 1)], b'k': [(4, 0), (4, 2), (6, 0)], b'l': [(7, 0)], b'm': [(2, 4)], b'n': [(0, 6), (3, 6)], b'o': [(6, 7), (7, 1)], b'p': [(2, 2), (3, 4)], b'q': [(3, 5), (5, 7)], b'r': [(0, 0), (1, 1), (4, 7), (5, 4)], b's': [(1, 0), (6, 3)], b't': [(1, 2), (7, 3)], b'u': [(1, 4), (4, 3)], b'v': [(1, 3)], b'w': [(3, 2), (6, 6), (7, 4)], b'x': [(0, 2), (4, 4), (6, 1)], b'y': [(6, 2)], b'z': [(0, 4), (2, 0), (3, 1), (6, 4)]}
46241524066570524510070540356106603734070772047572640410537604634256543025344232705735402426466115720463567245340240244705060306514076256357077645630742703452547275160740764552154024564540245245232405,{b'a': [(2, 3), (4, 6), (6, 3), (7, 5)], b'b': [(1, 6), (7, 0), (7, 1)], b'c': [(1, 1), (1, 7), (3, 3)], b'd': [(0, 5), (1, 5), (6, 2)], b'e': [(3, 4), (5, 2), (5, 7)], b'f': [(5, 1)], b'g': [(0, 0), (2, 6), (4, 7)], b'h': [(0, 4), (4, 5)], b'i': [(4, 0)], b'j': [(0, 1), (3, 6)], b'k': [(0, 2), (3, 5), (5, 0), (7, 7)], b'l': [(0, 7), (4, 2)], b'm': [(0, 3), (1, 4), (2, 7)], b'n': [(2, 4), (6, 1)], b'o': [(0, 6), (1, 0)], b'p': [(4, 4), (6, 6)], b'q': [(1, 3), (2, 0), (4, 3)], b'r': [(2, 5)], b's': [(5, 4), (7, 6)], b't': [(5, 6), (6, 4), (7, 2), (7, 3)], b'u': [(3, 0), (5, 3)], b'v': [(1, 2), (6, 7)], b'w': [(3, 7), (6, 0), (6, 5)], b'x': [(2, 1), (2, 2), (3, 1)], b'y': [(3, 2), (7, 4)], b'z': [(4, 1), (5, 5)]}
57647604346353255206020533542324013512643604523131576462531444462344645302410244570436125742510201120620455273441253524102474625665465666476642451514352614044515241522357502462340452462366544623126422,{b'a': [(4, 0), (5, 7)], b'b': [(0, 7), (4, 3), (6, 7)], b'c': [(6, 1), (7, 5)], b'd': [(3, 3), (3, 6), (6, 2), (7, 6)], b'e': [(2, 4), (5, 2)], b'f': [(2, 7), (7, 1)], b'g': [(2, 2), (3, 2)], b'h': [(1, 5), (2, 3), (2, 5)], b'i': [(1, 2), (6, 6)], b'j': [(3, 7)], b'k': [(3, 5), (6, 5)], b'l': [(0, 6), (1, 3), (2, 0), (4, 2), (7, 0), (7, 4)], b'm': [(3, 0), (5, 5)], b'n': [(0, 4), (6, 4)], b'o': [(0, 2), (3, 4)], b'p': [(1, 6), (2, 6)], b'q': [(0, 3), (7, 2), (7, 3)], b'r': [(0, 5), (1, 0), (1, 4), (4, 5), (6, 0)], b's': [(3, 1), (5, 1), (5, 4)], b't': [(4, 6), (5, 3)], b'u': [(4, 4), (4, 7)], b'v': [(5, 0)], b'w': [(0, 1), (6, 3)], b'x': [(0, 0), (1, 1), (1, 7), (5, 6)], b'y': [(2, 1), (4, 1)], b'z': [(7, 7)]}
63621435533472246277753462353074003517636245633633175654534015713447123661636535341653563244624535473472246277523451353534627560323462755324114775340034114062114127566234543560723434313557341760416734,{b'a': [(4, 4), (6, 3)], b'b': [(2, 6), (2, 7), (6, 6)], b'c': [(1, 1), (5, 5)], b'd': [(1, 4), (4, 5), (6, 1)], b'e': [(3, 4)], b'f': [(3, 0), (5, 1), (6, 5)], b'g': [(7, 3), (7, 7)], b'h': [(1, 7), (4, 7), (5, 3), (5, 7)], b'i': [(2, 4), (5, 6)], b'j': [(0, 6), (3, 7), (4, 2)], b'k': [(7, 2)], b'l': [(3, 3), (3, 6), (5, 2)], b'm': [(0, 7), (3, 2)], b'n': [(6, 2)], b'o': [(1, 2), (4, 0), (6, 0), (7, 4)], b'p': [(0, 1), (0, 4), (2, 1), (2, 5), (3, 1)], b'q': [(0, 3), (2, 3)], b'r': [(0, 0), (1, 6)], b's': [(5, 4), (6, 7), (7, 1)], b't': [(3, 5)], b'u': [(1, 5), (4, 1)], b'v': [(1, 3), (4, 3), (4, 6), (6, 4), (7, 6)], b'w': [(0, 5), (1, 0), (7, 5)], b'x': [(7, 0)], b'y': [(0, 2), (2, 2)], b'z': [(2, 0), (5, 0)]}
76612702666410566434076364570176112766742374750157567442452576552546746024671764462215256424762125321046737607310446736634742676615776760625450024221157763464652746732731341070743306106627462555072566,{b'a': [(5, 7), (6, 4)], b'b': [(1, 5), (3, 0), (7, 7)], b'c': [(5, 1), (5, 2), (6, 2), (7, 1)], b'd': [(2, 2), (3, 1), (5, 6)], b'e': [(2, 5), (2, 7)], b'f': [(3, 3), (5, 4), (7, 5)], b'g': [(7, 3)], b'h': [(0, 6), (1, 1), (2, 1), (3, 4), (6, 1)], b'i': [(0, 4), (0, 7), (1, 0)], b'j': [(3, 6), (4, 3)], b'k': [(3, 2), (3, 5), (4, 1), (4, 2)], b'l': [(4, 5), (7, 2)], b'm': [(5, 5), (6, 3), (7, 0)], b'n': [(0, 2), (1, 7), (2, 3), (4, 6)], b'o': [(0, 0), (5, 0), (7, 4)], b'p': [(0, 3), (0, 5), (4, 4)], b'q': [(1, 2)], b'r': [(2, 4)], b's': [(6, 6)], b't': [(7, 6)], b'u': [(1, 3), (6, 7)], b'v': [(1, 6), (2, 0), (6, 5)], b'w': [(2, 6), (3, 7), (6, 0)], b'x': [(1, 4)], b'y': [(4, 0), (4, 7)], b'z': [(0, 1), (5, 3)]}
65640001404540726764325161213554421202022632176535706115016553743065320427034266144210357061734235554017746556261402423217651202661565531403667040204065720226013206641566422210611426100242320112616574,{b'a': [(6, 5)], b'b': [(0, 4), (2, 0)], b'c': [(4, 4), (4, 7), (7, 3), (7, 7)], b'd': [(0, 0), (1, 4), (7, 4)], b'e': [(6, 1), (6, 6)], b'f': [(1, 7), (3, 6), (4, 6)], b'g': [(2, 2), (2, 5)], b'h': [(0, 2), (7, 0)], b'i': [(2, 6), (4, 2)], b'j': [(2, 4), (6, 3)], b'k': [(3, 3), (3, 7)], b'l': [(4, 5), (5, 0), (5, 1)], b'm': [(1, 3), (2, 3), (6, 0), (7, 2)], b'n': [(1, 0), (5, 3), (6, 4)], b'o': [(0, 6), (3, 4), (4, 0), (6, 7)], b'p': [(2, 1), (5, 7), (7, 6)], b'q': [(1, 6), (6, 2)], b'r': [(0, 3), (1, 5)], b's': [(0, 1), (3, 2)], b't': [(1, 2), (3, 5)], b'u': [(2, 7)], b'v': [(3, 1), (5, 6)], b'w': [(3, 0), (5, 4)], b'x': [(0, 7), (4, 3), (7, 1)], b'y': [(1, 1), (4, 1), (5, 5), (7, 5)], b'z': [(0, 5), (5, 2)]}
32671516124521361633452236431633455412564015653256151765161245403622734056714516333267151731163362313634404056714516125676564040413616404544714516334545236715124517223631454441154336404036764515124522,{b'a': [(1, 7), (2, 3), (3, 2), (4, 4), (5, 3)], b'b': [(1, 4), (3, 0), (3, 7), (5, 7)], b'c': [(1, 1), (4, 7), (5, 4), (6, 4)], b'd': [(1, 5), (7, 3)], b'e': [(4, 5)], b'f': [(1, 0), (4, 3), (6, 0), (6, 3)], b'g': [(0, 7), (1, 3), (7, 4)], b'h': [(1, 2), (3, 3)], b'i': [(5, 6)], b'j': [(3, 5)], b'k': [(0, 0), (4, 6), (5, 1), (6, 6), (7, 5)], b'l': [(4, 0)], b'm': [(2, 1), (5, 2)], b'n': [(4, 1), (6, 7)], b'o': [(3, 6)], b'p': [(0, 4), (2, 0), (7, 0)], b'q': [(0, 2), (7, 7)], b'r': [(2, 2)], b's': [(3, 1), (6, 5)], b't': [(1, 6)], b'u': [(3, 4), (7, 2)], b'v': [(0, 5), (4, 2), (7, 1)], b'w': [(0, 1), (2, 7), (7, 6)], b'x': [(2, 5), (5, 5), (6, 1)], b'y': [(0, 3), (2, 6), (6, 2)], b'z': [(0, 6), (2, 4), (5, 0)]}
41146015302634415557136333142415571545525173516303246573624567453276243051241541247157547320112415736563525130430324153023435460711557345724655771450430147172407365411442761442620343542465574234634057,{b'a': [(4, 1)], b'b': [(0, 2), (2, 0), (2, 6), (5, 3)], b'c': [(0, 7), (1, 7), (3, 6)], b'd': [(1, 3), (6, 0), (6, 7)], b'e': [(3, 0), (5, 7), (7, 3)], b'f': [(0, 3), (4, 4), (7, 0), (7, 4)], b'g': [(4, 2)], b'h': [(1, 5), (6, 5)], b'i': [(7, 6)], b'j': [(1, 2), (3, 5), (7, 5)], b'k': [(0, 6), (3, 1), (5, 5), (7, 7)], b'l': [(2, 2), (2, 3)], b'm': [(0, 4), (1, 0), (3, 2)], b'n': [(1, 4)], b'o': [(4, 3), (4, 5), (6, 3), (7, 2)], b'p': [(0, 5), (5, 0)], b'q': [(0, 1), (2, 1)], b'r': [(2, 5), (3, 4), (5, 4)], b's': [(5, 1), (6, 2)], b't': [(2, 4)], b'u': [(3, 7), (5, 2)], b'v': [(4, 0), (4, 6)], b'w': [(3, 3), (7, 1)], b'x': [(0, 0), (6, 1)], b'y': [(1, 1), (6, 4)], b'z': [(1, 6), (2, 7), (4, 7), (5, 6), (6, 6)]}
