gdwgihgeihltadsetohneasaonaeetshtrtreahllguegtehsloogrgenstemtadateodeilhtadmtrltealtuhyterhrtihders,[array([2, 0, 4, 1, 3]), 4]
oredeheomiediiaokawhrtfiaodetlsornntirbrtubrsddaetsetetnrnwrnghtyesehfersekignhofhtiioyneybhtloonomw,[array([1, 3, 4, 2, 0]), 14]
anoduloahafesyodhchldhfeeaearoodeneadvteetdcpsratecnikpfracpisnttktetbotlolenrtutoneovynbreflsldhbfi,[array([0, 3, 4, 1, 2]), 13]
twaeoteevrshntdfmnmneehioivwhecdoaahrdbudokatdfmniteehwshntdftslutoashetdoiuohynhhaeyirahatoieahacsg,[array([3, 2, 4, 0, 1]), 1]
rmedntehdocateadogteitroaoadottviarussiegyotwnhofmigchseaobmghfnnuhooseamhimglrduoaelteaeorfhhnfhsyn,[array([4, 0, 1, 3, 2]), 13]
giwtogmnagdacaabasnbrtnchinenhhmsgaghehsdsntonskbtopateeonolaeoiycmudasnlmauskhtufafenvtrieeoiroiiyl,[array([2, 3, 4, 0, 1]), 7]
toeeepmuutrhctmynoiohmhbenrsbcteatliennreomptmffttemhfdiitdhoiahecumrorwtrrlatoeshcnifneahoeeokoiheh,[array([2, 4, 3, 0, 1]), 1]
hfcormtaeeaatonuoeltgileyrmmeeeettaneuwoeufognbprihracnuchnwlieeeoeoahmystshldothenadrcortndatdhniiv,[array([1, 3, 0, 2, 4]), 13]
dorssliiiiscarassrawtrslohemehmbaaaemahideitawetittejwebkwthoutaslcrwyhiiunntedselswmnhhnboaidihdsai,[array([2, 4, 0, 3, 1]), 0]
ntimedeueaocsadpahcnyydenrjbtvdnngdsheummtwhifhesoredrimagfearjsyeinwslssitoceeeeseovnittoaepntcales,[array([4, 3, 2, 1, 0]), 3]
rfkuuherfoymbehtteaaigltdeoanoelmodtaattanednvdaonweohuhbwdihnteetagelshynlhrttywoortayeoinivldaoesa,[array([2, 4, 1, 0, 3]), 8]
ortntltlshpomexobewetenofeeidprekinrawhyrrahhrrcohemeptwbttalneunmumfnoaednwotehrtaauyrtbeduteeatwle,[array([3, 1, 2, 4, 0]), 11]
eeodyjiinwawnwhtcwadhrrouctaqishknhirattauemaxturshttheserdtrbdoahnolshutaeehmrscmneboderswtteyoeton,[array([3, 1, 2, 4, 0]), 15]
fsyulufrgsetcyettacteuoeeeauhsslotosaaicwetloodaurettlefremlrptoltinhphththllofubowhusihtaihhanlofra,[array([3, 0, 4, 1, 2]), 9]
eaythfhieketawohrnihhytmrynahuathvshhfihyodwetfiyoaasnomttslebsamsyatadwrweihutkalsemhykmoiasytwiwaw,[array([2, 3, 0, 1, 4]), 13]
nwamdreedoeeomtgonlnneowtasrtablodhooiifffiepaerwyfaysedlyannodmifcnastltlbrnhnfeiaoftnhsaemnlabiehd,[array([0, 3, 1, 4, 2]), 9]
euhoroaadtuefdeerdnotresrmiaoetlnoetsynabrrdnhuciudsdfnrlwaawrtthomtiascetrertgprlefhhtealoeoykaoode,[array([3, 4, 1, 0, 2]), 12]
thdthnighehtayfrnttypreocsenradoohefafnrtthscmtaeteiefdwsfbrdbwuaeghtwianrroihvonoketeoelnehiedaurcg,[array([4, 3, 2, 0, 1]), 7]
adretusotrodtetagthraraolohstaohtwsffeoahmasoeeatetenstiuaalarwnticetciwffdnpomeohhheryoecfhatmeubdh,[array([4, 1, 2, 0, 3]), 11]
heladyccounflaernfftimftaaeshweeuddodoisdneeoaaiennmutahohrnrnubarghaemhshgderdltfneatarucottsratote,[array([0, 4, 3, 2, 1]), 13]
