nethrralgethladdtalteeloudyeeihlthhteasgaweisgtitleahsltuhgeessoomorgtragtehntsrtreimdtrdghehtdeonaa,[array([0, 1, 2, 3, 4]), 15]
iiaokawhrtfiatsetetnrnwrnghtyesehfersekignhofhtiioyneybhtloonomwodetlsornntirbrtubrsddaeoredeheomied,[array([0, 1, 2, 3, 4]), 14]
ohhdfeeroeednttetentodycbpeslrlahtfeyndkcflahpesatakoedbntaovearnuoodeuvlnorafhsadfbeisciprcintttoll,[array([0, 1, 2, 3, 4]), 2]
bdktfntewhtfsulhunthoeaisahaeotedhocigtuaooaedvmsinedhmsmnedhtoiovywhhaeycrdhotaiaaharsdweterhtfnnei,[array([0, 1, 2, 3, 4]), 8]
igchseaobmghfnnuhooseamhimglrduoaelteoadottviarussiegyotwnhofmrmedntehdocateadogteitroaaeorfhhnfhsyn,[array([0, 1, 2, 3, 4]), 9]
shuaevreoriytipttgennglaeaibcsubatncmhheihnsednshnhtmosngsakgbogaweoomoaadocyamadnsrlnauktffntieioil,[array([0, 1, 2, 3, 4]), 9]
nreomptmffttlatoeshcnifneahoeeokoihehemhfdiitdhoiahecumrorwtrrtoeeepmuutrhctmynoiohmhbenrsbcteatlien,[array([0, 1, 2, 3, 4]), 1]
eeamsslohndcrfmommeaeeeaeotuteatnieeueoouoohnyptihrdctuehawriohrctrntdeaattdnhonligilvywefgbrhancnle,[array([0, 1, 2, 3, 4]), 12]
tjektotscwhindhresmieihsmabaasaaatesmoneewsblwwhnuhablardyhisuiaohsildieiictraswrewtrilttdesmhnoiida,[array([0, 1, 2, 3, 4]), 5]
yiwlstceeevimttohafeeponetrcmagleerssdeancsysdinojetedsnodnhtunmtwiimhesdreduieaafoacjsaphnyerbvngse,[array([0, 1, 2, 3, 4]), 4]
fuhrometeagteoenteamgdealtsaheynndlorrktuweoftyybohntvadiolsdweeaoohluohtbawtdnidhvnatnhtyoraeiilaea,[array([0, 1, 2, 3, 4]), 3]
xbwtnfedrknaehurnamhurmofeneotabetdlneooeereaeuorebidpteeitrlowrytrnhtrlcthlmsphwptoamnwthtayteueawe,[array([0, 1, 2, 3, 4]), 10]
msmeoesteotneteuomdxyujsitihnswratwbnhhrccanhbrdurtwqtsykehorotaahenaotlrshhtueteaderedwtwdrocaihnia,[array([0, 1, 2, 3, 4]), 10]
oltinhphththfsyulufrgsetcyettacteuoeellofubowhusihtaihhanlofraeauhsslotosaaicwetloodaurettlefremlrpt,[array([0, 1, 2, 3, 4]), 1]
eyhheeaorihtryaasuatavwhwfihuokwlteihokamaosinaosmytttwsilweabwsmnyhtadhrsehhityadsemfyyatfiktwhnhym,[array([0, 1, 2, 3, 4]), 7]
iifffiepaerwyrnhnfeiaoftnhsaemnlabiehdomtgonlnneowtasrtablodhoofaysedlyannodmifcnastltlbnwamdreedoee,[array([0, 1, 2, 3, 4]), 5]
dsdfnrlwaawrteuhoroaadtuefdeerdnotresrmiaoetlnoetsynabrrdnhuciuertgprlefhhtealoeoykaoodethomtiascetr,[array([0, 1, 2, 3, 4]), 8]
buehwarohooeeeflrnteshmiaetdiafuwrfcrgwhatgntgientryirvtnykrtooacnstehncrtaedeoeodhsebfdtdhihhafntpe,[array([0, 1, 2, 3, 4]), 8]
deuordeatrroontpnotmueaoahwhthcetriyfodahrttosttsoftothgahoaeatleecsfihaaltrmneiuebcdwhfsahwfeamseae,[array([0, 1, 2, 3, 4]), 14]
mthhnnbrhehheedhtenuadaduiodterotatehaeelrandfyfctciomufntfaladsrwlefdeotorscntesaaionenuaorruagamsg,[array([0, 1, 2, 3, 4]), 3]
